
EDGES TABLE (nodes = 1, tmult = 16)

8 run	0.23	1.13	1.07	2.77	2.28
8 vote	0.17	1.02	0.83	2.32	1.41
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	0.22	0.46	0.87	2.04	4.66
16 vote	0.11	0.26	0.45	1.22	2.98
16 peaks	0.00	0.00	0.00	0.00	0.00

THETA TABLE (nodes = 4, edges = 320000)

cores/theta	1	2	4	8	16
1 run	0.60	1.20	2.03	5.76	7.54
1 vote	0.58	1.16	1.95	5.60	7.28
1 peaks	0.00	0.00	0.00	0.01	0.01
2 run	0.33	0.96	1.24	2.56	7.03
2 vote	0.30	0.90	1.12	2.35	6.37
2 peaks	0.00	0.00	0.00	0.00	0.01
4 run	0.68	0.51	3.71	3.86	4.17
4 vote	0.63	0.42	3.51	3.44	3.41
4 peaks	0.00	0.00	0.00	0.00	0.00
8 run	0.23	0.37	0.95	2.14	3.90
8 vote	0.12	0.21	0.59	1.19	1.65
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	0.19	0.51	1.06	2.22	4.22
16 vote	0.05	0.14	0.30	0.85	1.30
16 peaks	0.00	0.00	0.00	0.00	0.00

THETA TABLE (nodes = 8, edges = 320000)

cores/theta	1	2	4	8	16
1 run	0.52	0.73	4.86	3.32	5.83
1 vote	0.49	0.64	4.72	2.98	5.52
1 peaks	0.00	0.00	0.00	0.00	0.01
2 run	0.21	0.47	0.97	1.91	4.84
2 vote	0.18	0.38	0.83	1.58	4.33
2 peaks	0.00	0.00	0.00	0.00	0.00
4 run	0.16	0.39	3.00	2.16	6.28
4 vote	0.10	0.25	2.74	1.58	4.82
4 peaks	0.00	0.00	0.00	0.00	0.00
8 run	0.35	0.63	0.75	1.65	4.54
8 vote	0.17	0.39	0.28	0.80	1.52
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	0.34	0.52	0.93	2.93	4.67
16 vote	0.04	0.10	0.17	0.41	0.87
16 peaks	0.00	0.00	0.00	0.01	0.00

THETA TABLE (nodes = 16, edges = 320000)

cores/theta	1	2	4	8	16
1 run	0.16	0.52	1.59	2.35	4.60
1 vote	0.14	0.39	1.27	2.06	3.56
1 peaks	0.00	0.00	0.00	0.00	0.01
2 run	0.14	0.57	1.33	1.69	4.11
2 vote	0.10	0.46	0.94	1.29	2.41
2 peaks	0.00	0.00	0.00	0.00	0.02
4 run	0.16	0.52	0.76	1.85	3.60
4 vote	0.06	0.15	0.44	0.95	1.24
4 peaks	0.00	0.01	0.00	0.00	0.00
8 run	0.59	0.52	0.92	2.22	4.23
8 vote	0.04	0.09	0.18	0.42	0.62
8 peaks	0.00	0.00	0.00	0.00	0.00
16 run	0.53	0.84	1.25	2.31	4.32
16 vote	0.03	0.06	0.11	0.30	0.48
16 peaks	0.01	0.00	0.00	0.01	0.00
